State,2005,2020,2021,2022
United States,295516599,331511512,332031554,333287557
.Alabama,4569805,5031362,5049846,5074296
.Alaska,666946,732923,734182,733583
.Arizona,5839077,7179943,7264877,7359197
.Arkansas,2781097,3014195,3028122,3045637
.California,35827943,39501653,39142991,39029342
.Colorado,4631888,5784865,5811297,5839926
.Connecticut,3506956,3597362,3623355,3626205
.Delaware,845150,992114,1004807,1018396
.District of Columbia,567136,670868,668791,671803
.Florida,17842038,21589602,21828069,22244823
.Georgia,8925922,10729828,10788029,10912876
.Hawaii,1292729,1451043,1447154,1440196
.Idaho,1428241,1849202,1904314,1939033
.Illinois,12609903,12786580,12686469,12582032
.Indiana,6278616,6788799,6813532,6833037
.Iowa,2964454,3190571,3197689,3200517
.Kansas,2745299,2937919,2937922,2937150
.Kentucky,4182742,4507445,4506589,4512310
.Louisiana,4576628,4651664,4627098,4590241
.Maine,1318787,1363557,1377238,1385340
.Maryland,5592379,6173205,6174610,6164660
.Massachusetts,6403290,6995729,6989690,6981974
.Michigan,10051137,10069577,10037504,10034113
.Minnesota,5119598,5709852,5711471,5717184
.Mississippi,2905943,2958141,2949586,2940057
.Missouri,5790300,6153998,6169823,6177957
.Montana,940102,1087075,1106227,1122867
.Nebraska,1761497,1962642,1963554,1967923
.Nevada,2432143,3115648,3146402,3177772
.New Hampshire,1298492,1378587,1387505,1395231
.New Jersey,8651974,9271689,9267961,9261699
.New Mexico,1932274,2118390,2116677,2113344
.New York,19132610,20108296,19857492,19677151
.North Carolina,8705407,10449445,10565885,10698973
.North Dakota,646089,779518,777934,779261
.Ohio,11463320,11797517,11764342,11756058
.Oklahoma,3548597,3964912,3991225,4019800
.Oregon,3613202,4244795,4256301,4240137
.Pennsylvania,12449990,12994440,13012059,12972008
.Rhode Island,1067916,1096345,1096985,1093734
.South Carolina,4270150,5131848,5193266,5282634
.South Dakota,775493,887799,896164,909824
.Tennessee,5991057,6925619,6968351,7051339
.Texas,22778123,29232474,29558864,30029572
.Utah,2457719,3283785,3339113,3380800
.Vermont,621215,642893,646972,647064
.Virginia,7577105,8636471,8657365,8683619
.Washington,6257305,7724031,7740745,7785786
.West Virginia,1820492,1791420,1785526,1775156
.Wisconsin,5546166,5896271,5880101,5892539
.Wyoming,514157,577605,579483,581381