State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Alabama,5,5,6,5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
Alaska,5.2,5.2,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.34,5.34,5.34,5.34,5.34,5.34,5.34,5.34,5.34
Arizona,8,7.968,6.968,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.5,5.5,5.5,4.9,4.9,4.9,4.9,4.9,4.9,4.9
Arkansas,3.75,3.75,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.86666666666667,3.65,3.55
California,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84
Colorado,4.75,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.55,4.55,4.4
Connecticut,8.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,9,9,9,9,9,9,8.25,7.5,7.5,7.5,7.5,7.5
Delaware,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7
Florida,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,4.458,4.458,5.5,5.5
Georgia,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.75,5.75,5.75,5.75,5.75
Hawaii,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
Idaho,8,8,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.4,7.4,7.4,7.4,7.4,7.4,6.925,6.925,6.925,6,5.8
Illinois,4.8,4.8,4.8,4.8,7.3,7.3,7.3,7.3,7.3,7.3,7.3,9.5,9.5,9.5,9.5,7.75,7.75,7.75,9.5,9.5,9.5,9.5,9.5,9.5
Indiana,3.4,3.4,3.4,3.4,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8,7.5,6.5,6.5,6.25,6,5.75,5.5,5.25,4.9,4.9
Iowa,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8.1,8.1,6.95
Kansas,4,4,4,5.675,4,4,4,5.675,5.675,5.525,5.525,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
Kentucky,6.125,6.125,6.05,6.05,6.05,6.05,5.33333333333333,5.33333333333333,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Louisiana,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.33333333333333,5.33333333333333
Maine,6.215,6.215,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725
Maryland,7,7,7,7,7,7,7,7,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25
Massachusetts,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,8.8,8.25,8,8,8,8,8,8,8,8,8,8,8,8
Michigan,1.1,2.1,2,1.9,1.9,1.9,1.9,1.9,4.95,4.95,4.95,0,6,6,6,6,6,6,6,6,6,6,6,6
Minnesota,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
Mississippi,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
Missouri,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,4,4,4,4
Montana,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75
Nebraska,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.415
Nevada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,7,8,8.5,8.5,8.875,8.875,8.875,8.875,8.875,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.2,8.2,7.7,7.7,7.7,7.6,7.5
New Jersey,9,9,9,9,9,7.66666666666667,7.66666666666667,7.66666666666667,7.66666666666667,7.66666666666667,9,9,9,9,9,7.66666666666667,7.66666666666667,9,9,8.625,8.375,8.625,8.625,8.625
New Mexico,6.2,6.2,6.26666666666667,6.26666666666667,6.26666666666667,6.26666666666667,6.26666666666667,6.26666666666667,6.26666666666667,6.26666666666667,6.26666666666667,6.26666666666667,6.26666666666667,6.26666666666667,6.16666666666667,5.93333333333333,5.93333333333333,5.83333333333333,5.35,5.35,5.35,5.35,5.35,5.35
New York,9,8,7.5,7.5,7.5,7.5,7.5,7.5,7.1,7.1,7.1,7.1,7.1,7.1,7.1,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.875,6.875
North Carolina ,7,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6,4,4,3,3,2.5,2.5,2.5,2.5,2.5
North Dakota,6.75,6.75,6.75,6.75,6.75,5.14,5.14,5.14,5.04,5.04,4.76666666666667,4.58333333333333,3.67666666666667,3.68666666666667,3.24666666666667,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09
Ohio ,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,0.26,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4
Oregon,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,7.25,7.25,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
Pennsylvania,9.99,9.99,10,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,8.99
Rhode Island,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7
South Carolina,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,6,6,6,6,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
Texas,0,0,0,0,0,0,4.5,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.95,4.95,4.95,4.85,4.85
Vermont,8.375,8.375,8.5125,8.5125,8.5125,8.5125,8.5125,7.6625,7.16666666666667,7.16666666666667,7.16666666666667,7.16666666666667,7.16666666666667,7.16666666666667,7.16666666666667,7.16666666666667,7.16666666666667,7.16666666666667,7.16666666666667,7.16666666666667,7.16666666666667,7.16666666666667,7.16666666666667,7.16666666666667
Virginia,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,9,9,9,9,9,9,9,9,8.75,8.5,8.5,8.5,7.75,7,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
Wisconsin ,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District of Columbia,9.98,9.975,9.5,9.5,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.4,9.4,9,8.25,8.25,8.25,8.25,8.25,8.25