State,STATE,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Alabama,AL,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
Alaska,AK,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.44,5.34,5.34,5.34,5.34,5.34,5.34,5.34,5.34,5.34
Arizona,AZ,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.97,6.5,5.5,5.5,4.9,4.9,4.9,4.9,4.9,4.9,4.9
Arkansas,AR,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.91666666666667,3.86666666666667,3.65,3.55
California,CA,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84,8.84
Colorado,CO,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.55,4.55,4.4
Connecticut,CT,7.5,7.5,7.5,7.5,7.5,7.5,7.5,9,9,9,9,9,9,8.25,7.5,7.5,7.5,7.5,7.5
Delaware,DE,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7
Florida,FL,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,4.458,4.458,5.5,5.5
Georgia,GA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.75,5.75,5.75,5.75,5.75
Hawaii,HI,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
Idaho,ID,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.4,7.4,7.4,7.4,7.4,7.4,6.925,6.925,6.925,6,5.8
Illinois,IL,7.3,7.3,7.3,7.3,7.3,7.3,9.5,9.5,9.5,9.5,7.75,7.75,7.75,9.5,9.5,9.5,9.5,9.5,9.5
Indiana,IN,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8,7.5,6.5,6.5,6.25,6,5.75,5.5,5.25,4.9,4.9
Iowa,IA,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8.1,8.1,6.95
Kansas,KS,4,4,5.675,5.675,5.525,5.525,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
Kentucky,KY,6.05,5.33333333333333,5.33333333333333,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Louisiana,LA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.33333333333333,5.33333333333333
Maine,ME,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725,7.1725
Maryland,MD,7,7,7,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25
Massachusetts,MA,9.5,9.5,9.5,9.5,9.5,8.8,8.25,8,8,8,8,8,8,8,8,8,8,8,8
Michigan,MI,1.9,1.9,1.9,4.95,4.95,4.95,0,6,6,6,6,6,6,6,6,6,6,6,6
Minnesota,MN,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8,9.8
Mississippi,MS,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
Missouri,MO,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,4,4,4,4
Montana,MT,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75
Nebraska,NE,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.695,6.415
Nevada,NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,NH,8.875,8.875,8.875,8.875,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.2,8.2,7.7,7.7,7.7,7.6,7.5
New Jersey,NJ,7.66666666666667,7.66666666666667,7.66666666666667,7.66666666666667,7.66666666666667,9,9,9,9,9,7.66666666666667,7.66666666666667,9,9,8.625,8.375,8.625,8.625,8.625
New Mexico,NM,6.26666666666667,6.26666666666667,6.26666666666667,6.26666666666667,6.26666666666667,6.26666666666667,6.26666666666667,6.26666666666667,6.26666666666667,6.16666666666667,5.93333333333333,5.93333333333333,5.83333333333333,5.35,5.35,5.35,5.35,5.35,5.35
New York,NY,7.5,7.5,7.5,7.1,7.1,7.1,7.1,7.1,7.1,7.1,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.875,6.875
North Carolina ,NC,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6,4,4,3,3,2.5,2.5,2.5,2.5,2.5
North Dakota,ND,5.14,5.14,5.14,5.04,5.04,4.76666666666667,4.58333333333333,3.67666666666667,3.68666666666667,3.24666666666667,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09
Ohio ,OH,6.8,6.8,6.8,6.8,0.26,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,OK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4
Oregon,OR,6.6,6.6,6.6,6.6,7.25,7.25,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
Pennsylvania,PA,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.99,8.99
Rhode Island,RI,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,7
South Carolina,SC,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
South Dakota,SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,TN,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
Texas,TX,0,4.5,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,UT,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.95,4.95,4.95,4.85,4.85
Vermont,VT,8.5125,8.5125,7.6625,7.16666666666667,7.16666666666667,7.16666666666667,7.16666666666667,7.16666666666667,7.16666666666667,7.16666666666667,7.16666666666667,7.16666666666667,7.16666666666667,7.16666666666667,7.16666666666667,7.16666666666667,7.16666666666667,7.16666666666667,7.16666666666667
Virginia,VA,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Washington,WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,WV,9,9,9,8.75,8.5,8.5,8.5,7.75,7,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
Wisconsin ,WI,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9
Wyoming,WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District of Columbia,DC,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.98,9.4,9.4,9,8.25,8.25,8.25,8.25,8.25,8.25